,,,,,,,,,,
Key: Market,Key: Index (Market Area + Budget),Make and Model,Average Annual Earnings Rounded,Average Annual ROI,Vehicle Value,Annual Loan Cost,Average Annual Earnings Rounded,Vehicle Value Rounded,Loan Cost Rounded,Concat
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Volkswagen Tiguan,,0.9398,,,9972.52,23202,5141.07,Dallas / Fort WorthVolkswagen Tiguan
Denver / Boulder,Denver / Boulder$10K to $25K,BMW X2,,0.9395,,,10315.97,24004,5318.77,Denver / BoulderBMW X2
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Hyundai Venue,,0.9393,,,7694.43,17906,3967.59,Dallas / Fort WorthHyundai Venue
Chicago,Chicago$10K to $25K,Chrysler Voyager,,0.9385,,,9909.69,23071,5112.04,ChicagoChrysler Voyager
San Diego,San Diego$10K to $25K,Kia Forte,,0.9381,,,7701.1,17933,3973.57,San DiegoKia Forte
Chicago,Chicago$10K to $25K,Kia Optima,,0.9363,,,7188.76,16755,3712.55,ChicagoKia Optima
San Diego,San Diego$25K to $40K,Subaru Ascent,,0.9363,,,12297.31,28662,6350.88,San DiegoSubaru Ascent
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Ford Fusion,,0.9363,,,7662.73,17860,3957.39,Seattle / TacomaFord Fusion
San Diego,San Diego$10K to $25K,FIAT 124 Spider,,0.9362,,,9227.49,21508,4765.71,San DiegoFIAT 124 Spider
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Ford Ecosport,,0.9358,,,6489.19,15129,3352.26,Miami / Fort LauderdaleFord Ecosport
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Volkswagen Jetta,,0.935,,,7164.82,16711,3702.8,Los Angeles / Riverside / Orange CountyVolkswagen Jetta
Honolulu,Honolulu$25K to $40K,BMW X4,,0.9346,,,16756.76,39090,8661.51,HonoluluBMW X4
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Lincoln Mkc,,0.9338,,,8320.94,19419,4302.83,Miami / Fort LauderdaleLincoln Mkc
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Toyota Yaris,,0.9335,,,6243.52,14573,3229.06,Dallas / Fort WorthToyota Yaris
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Kia Forte,,0.9329,,,7680.67,17933,3973.57,New York / New Jersey / Long IslandKia Forte
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Toyota Camry,,0.9328,,,9273.47,21653,4797.84,Seattle / TacomaToyota Camry
Houston,Houston$25K to $40K,Chrysler Pacifica,,0.9319,,,10903.01,25470,5643.61,HoustonChrysler Pacifica
Seattle / Tacoma,Seattle / Tacoma$25K to $40K,Hyundai Sonata Hybrid,,0.9311,,,11472.12,26811,5940.74,Seattle / TacomaHyundai Sonata Hybrid
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Toyota Corolla Hatchback,,0.9306,,,9225.83,21567,4778.78,Seattle / TacomaToyota Corolla Hatchback
Atlanta,Atlanta$10K to $25K,Chrysler Voyager,,0.9304,,,9868.44,23071,5112.04,AtlantaChrysler Voyager
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Hyundai Elantra,,0.9303,,,7038.73,16457,3646.52,Los Angeles / Riverside / Orange CountyHyundai Elantra
San Diego,San Diego$10K to $25K,MINI Hardtop 4 Door,,0.93,,,9361.49,21891,4850.58,San DiegoMINI Hardtop 4 Door
Denver / Boulder,Denver / Boulder$40K to $100K,Porsche Macan,,0.9297,,,17320.19,40508,8975.7,Denver / BoulderPorsche Macan
Denver / Boulder,Denver / Boulder$40K to $100K,Ford Expedition Max,,0.9297,,,18479.73,43220,9576.62,Denver / BoulderFord Expedition Max
Anchorage,Anchorage$10K to $25K,Honda Civic,,0.9296,,,8147.03,19055,4222.18,AnchorageHonda Civic
Phoenix,Phoenix$10K to $25K,Mazda Mazda3,,0.9293,,,7509.78,17567,3892.47,PhoenixMazda Mazda3
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Chevrolet Spark,,0.929,,,5115.32,11968,2651.85,Washington DC / BaltimoreChevrolet Spark
Honolulu,Honolulu$25K to $40K,Hyundai Sonata Hybrid,,0.9287,,,11457.92,26811,5940.74,HonoluluHyundai Sonata Hybrid
Houston,Houston$10K to $25K,Kia Soul,,0.9285,,,7364.32,17234,3818.68,HoustonKia Soul
US: Other,US: Other$10K to $25K,Subaru Crosstrek,,0.9284,,,10065.89,23557,5219.73,US: OtherSubaru Crosstrek
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Volkswagen Tiguan Limited,,0.9281,,,6729.34,15751,3490.08,Washington DC / BaltimoreVolkswagen Tiguan Limited
Austin,Austin$10K to $25K,Nissan Murano,,0.9266,,,8942.34,20947,4641.41,AustinNissan Murano
National Average,National Average$25K to $40K,Honda Odyssey,,0.9265,,,12782.01,29943,6634.73,National AverageHonda Odyssey
Denver / Boulder,Denver / Boulder$10K to $25K,Nissan Altima,,0.9263,,,8048.41,18856,4178.08,Denver / BoulderNissan Altima
Phoenix,Phoenix$25K to $40K,BMW 4 Series Gran Coupe,,0.9259,,,12010.09,28144,6236.11,PhoenixBMW 4 Series Gran Coupe
Honolulu,Honolulu$25K to $40K,BMW 5 Series,,0.9253,,,13764.78,32266,7149.45,HonoluluBMW 5 Series
National Average,National Average$10K to $25K,Volkswagen Beetle,,0.9247,,,8857.08,20768,4601.74,National AverageVolkswagen Beetle
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Volkswagen Jetta,,0.9245,,,7125.9,16711,3702.8,Seattle / TacomaVolkswagen Jetta
Phoenix,Phoenix$10K to $25K,Honda Fit,,0.9242,,,7094.66,16640,3687.07,PhoenixHonda Fit
Miami / Fort Lauderdale,Miami / Fort Lauderdale$25K to $40K,Mercedes-Benz Metris,,0.9241,,,12518.63,29363,6506.21,Miami / Fort LauderdaleMercedes-Benz Metris
Honolulu,Honolulu$25K to $40K,Chevrolet Blazer,,0.9238,,,12408.91,29110,6450.15,HonoluluChevrolet Blazer
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Toyota Yaris,,0.9234,,,6210.71,14573,3229.06,Boston / Worcester / LawrenceToyota Yaris
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Jeep Cherokee,,0.9227,,,8371.57,19650,4354.02,Dallas / Fort WorthJeep Cherokee
Las Vegas,Las Vegas$10K to $25K,Kia Sorento,,0.922,,,10608.69,24911,5519.74,Las VegasKia Sorento
Houston,Houston$25K to $40K,Alfa Romeo Stelvio,,0.9219,,,11186.53,26269,5820.65,HoustonAlfa Romeo Stelvio
San Diego,San Diego$10K to $25K,Hyundai Accent,,0.9216,,,6636.34,15586,3453.52,San DiegoHyundai Accent
National Average,National Average$10K to $25K,Chevrolet Trailblazer,,0.9199,,,10467.74,24606,5452.16,National AverageChevrolet Trailblazer
Houston,Houston$10K to $25K,Volkswagen Tiguan,,0.9197,,,9869.08,23202,5141.07,HoustonVolkswagen Tiguan
Austin,Austin$10K to $25K,Nissan Rogue Sport,,0.9191,,,8039.04,18905,4188.94,AustinNissan Rogue Sport
San Diego,San Diego$10K to $25K,Hyundai Kona,,0.9187,,,8104,19062,4223.73,San DiegoHyundai Kona
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$25K to $40K,Ford Bronco Sport,,0.9178,,,12816.68,30161,6683.03,Boston / Worcester / LawrenceFord Bronco Sport
Austin,Austin$25K to $40K,INFINITI Qx60,,0.9172,,,10787.27,25393,5626.54,AustinINFINITI Qx60
Las Vegas,Las Vegas$25K to $40K,Ford Mustang,,0.9172,,,10866.19,25579,5667.76,Las VegasFord Mustang
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Volkswagen Jetta,,0.9169,,,7097.88,16711,3702.8,San Francisco / Oakland / San JoseVolkswagen Jetta
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Nissan Murano,,0.9166,,,8895.79,20947,4641.41,New York / New Jersey / Long IslandNissan Murano
Denver / Boulder,Denver / Boulder$10K to $25K,Mercedes-Benz Gla-Class,,0.916,,,10252.41,24149,5350.9,Denver / BoulderMercedes-Benz Gla-Class
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Ford Ecosport,,0.9152,,,6420.2,15129,3352.26,San Francisco / Oakland / San JoseFord Ecosport
Chicago,Chicago$10K to $25K,Chevrolet Volt,,0.9148,,,9976.68,23514,5210.2,ChicagoChevrolet Volt
Phoenix,Phoenix$10K to $25K,Hyundai Sonata,,0.9146,,,8192.95,19312,4279.12,PhoenixHyundai Sonata
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$25K to $40K,Jaguar F-Pace,,0.9144,,,12943.19,30513,6761.03,Los Angeles / Riverside / Orange CountyJaguar F-Pace
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Jeep Renegade,,0.9134,,,7485.06,17655,3911.97,Boston / Worcester / LawrenceJeep Renegade
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Ford Fusion,,0.9133,,,7571.86,17860,3957.39,Dallas / Fort WorthFord Fusion
Tampa,Tampa$10K to $25K,Cadillac Xt5,,0.9133,,,10456.78,24665,5465.23,TampaCadillac Xt5
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,FIAT 500x,,0.9118,,,6971.72,16458,3646.74,Washington DC / BaltimoreFIAT 500x
US: Other,US: Other$10K to $25K,Ford Fusion,,0.9108,,,7561.82,17860,3957.39,US: OtherFord Fusion
National Average,National Average$10K to $25K,Kia Forte,,0.9091,,,7586.07,17933,3973.57,National AverageKia Forte
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Toyota Corolla,,0.9078,,,7924.02,18745,4153.49,San Francisco / Oakland / San JoseToyota Corolla
Anchorage,Anchorage$40K to $100K,Porsche Macan,,0.9078,,,17123.59,40508,8975.7,AnchoragePorsche Macan
Orlando,Orlando$10K to $25K,Mitsubishi Outlander,,0.9077,,,9048.62,21406,4743.11,OrlandoMitsubishi Outlander
Anchorage,Anchorage$25K to $40K,Acura Rdx,,0.9071,,,12744.45,30159,6682.59,AnchorageAcura Rdx
Austin,Austin$25K to $40K,Audi Q3,,0.9067,,,11573.88,27395,6070.14,AustinAudi Q3
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Ford Escape,,0.9067,,,7330.43,17351,3844.61,Miami / Fort LauderdaleFord Escape
US: Other,US: Other$25K to $40K,Land Rover Discovery Sport,,0.9057,,,11866.79,28103,6227.02,US: OtherLand Rover Discovery Sport
Phoenix,Phoenix$25K to $40K,Land Rover Discovery,,0.9057,,,14940.42,35382,7839.89,PhoenixLand Rover Discovery
Denver / Boulder,Denver / Boulder$25K to $40K,Toyota Highlander Hybrid,,0.9052,,,15237.16,36094,7997.66,Denver / BoulderToyota Highlander Hybrid
Honolulu,Honolulu$25K to $40K,BMW 3 Series,,0.9044,,,11523.9,27309,6051.09,HonoluluBMW 3 Series
Las Vegas,Las Vegas$10K to $25K,Kia Optima,,0.9038,,,7067.93,16755,3712.55,Las VegasKia Optima
Las Vegas,Las Vegas$10K to $25K,Honda Hr-V,,0.9027,,,8996.07,21338,4728.04,Las VegasHonda Hr-V
Las Vegas,Las Vegas$25K to $40K,Land Rover Range Rover Evoque,,0.9026,,,13471.71,31956,7080.76,Las VegasLand Rover Range Rover Evoque
US: Other,US: Other$10K to $25K,Ford Edge,,0.9023,,,8498,20161,4467.24,US: OtherFord Edge
Seattle / Tacoma,Seattle / Tacoma$25K to $40K,Chrysler Pacifica,,0.9019,,,10733.48,25470,5643.61,Seattle / TacomaChrysler Pacifica
US: Other,US: Other$10K to $25K,Kia Sedona,,0.9016,,,9346.61,22182,4915.06,US: OtherKia Sedona
National Average,National Average$25K to $40K,Chrysler Pacifica,,0.9015,,,10731.25,25470,5643.61,National AverageChrysler Pacifica
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Kia Sportage,,0.9012,,,9131.41,21676,4802.94,Seattle / TacomaKia Sportage
Phoenix,Phoenix$10K to $25K,Jeep Renegade,,0.9007,,,7435.37,17655,3911.97,PhoenixJeep Renegade
Honolulu,Honolulu$25K to $40K,Kia Niro Ev,,0.9006,,,14609.26,34691,7686.78,HonoluluKia Niro Ev
San Diego,San Diego$40K to $100K,Lincoln Navigator,,0.9001,,,21512.45,51096,11321.78,San DiegoLincoln Navigator
Denver / Boulder,Denver / Boulder$25K to $40K,Mercedes-Benz Glc-Class,,0.8998,,,13417.64,31874,7062.59,Denver / BoulderMercedes-Benz Glc-Class
Orlando,Orlando$25K to $40K,Volkswagen Arteon,,0.8986,,,12141.67,28862,6395.2,OrlandoVolkswagen Arteon
Seattle / Tacoma,Seattle / Tacoma$25K to $40K,Jaguar F-Pace,,0.8978,,,12831.41,30513,6761.03,Seattle / TacomaJaguar F-Pace
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$25K to $40K,Volkswagen Taos,,0.8976,,,10684.28,25411,5630.53,Boston / Worcester / LawrenceVolkswagen Taos
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Toyota Yaris,,0.8973,,,6126.48,14573,3229.06,Miami / Fort LauderdaleToyota Yaris
US: Other,US: Other$10K to $25K,BMW X2,,0.8966,,,10087.51,24004,5318.77,US: OtherBMW X2
National Average,National Average$25K to $40K,Jeep Wrangler,,0.8963,,,12574.58,29927,6631.18,National AverageJeep Wrangler
US: Other,US: Other$10K to $25K,Subaru Forester,,0.8962,,,10099.27,24037,5326.08,US: OtherSubaru Forester
US: Other,US: Other$10K to $25K,Hyundai Kona,,0.8962,,,8008.94,19062,4223.73,US: OtherHyundai Kona
San Diego,San Diego$10K to $25K,Nissan Rogue,,0.8959,,,9153.7,21790,4828.2,San DiegoNissan Rogue
Houston,Houston$25K to $40K,Chevrolet Blazer,,0.8956,,,12227.18,29110,6450.15,HoustonChevrolet Blazer
Chicago,Chicago$10K to $25K,Hyundai Santa Fe Sport,,0.8948,,,6552.91,15608,3458.4,ChicagoHyundai Santa Fe Sport
Austin,Austin$10K to $25K,Toyota Camry,,0.8943,,,9088.47,21653,4797.84,AustinToyota Camry
Orlando,Orlando$25K to $40K,INFINITI Qx60,,0.894,,,10656.58,25393,5626.54,OrlandoINFINITI Qx60
Dallas / Fort Worth,Dallas / Fort Worth$25K to $40K,Audi Q5,,0.8938,,,12718.94,30311,6716.27,Dallas / Fort WorthAudi Q5
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,INFINITI Q50,,0.8925,,,10025.05,23907,5297.28,San Francisco / Oakland / San JoseINFINITI Q50
Austin,Austin$25K to $40K,Volkswagen Atlas,,0.8923,,,11456.88,27324,6054.41,AustinVolkswagen Atlas
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Hyundai Venue,,0.892,,,7506.68,17906,3967.59,Washington DC / BaltimoreHyundai Venue
San Diego,San Diego$10K to $25K,Ford Escape,,0.8912,,,7271.03,17351,3844.61,San DiegoFord Escape
Anchorage,Anchorage$40K to $100K,GMC Sierra 1500,,0.8912,,,16776.31,40034,8870.68,AnchorageGMC Sierra 1500
Austin,Austin$10K to $25K,Ford Fusion Hybrid,,0.8904,,,7578.69,18093,4009.02,AustinFord Fusion Hybrid
US: Other,US: Other$10K to $25K,Chevrolet Malibu,,0.8901,,,7686.74,18354,4066.85,US: OtherChevrolet Malibu
Tampa,Tampa$10K to $25K,Jeep Renegade,,0.89,,,7393.47,17655,3911.97,TampaJeep Renegade
Denver / Boulder,Denver / Boulder$10K to $25K,Ford Fusion,,0.8898,,,7478.82,17860,3957.39,Denver / BoulderFord Fusion
Chicago,Chicago$10K to $25K,Hyundai Elantra,,0.8895,,,6890.24,16457,3646.52,ChicagoHyundai Elantra
Orlando,Orlando$10K to $25K,Chevrolet Trailblazer,,0.8895,,,10302,24606,5452.16,OrlandoChevrolet Trailblazer
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$25K to $40K,Land Rover Range Rover Velar,,0.889,,,15841.77,37848,8386.3,San Francisco / Oakland / San JoseLand Rover Range Rover Velar
Denver / Boulder,Denver / Boulder$25K to $40K,Volvo Xc60,,0.8888,,,13736.78,32822,7272.65,Denver / BoulderVolvo Xc60
San Diego,San Diego$40K to $100K,Lexus Gx,,0.8881,,,16761.28,40063,8877.1,San DiegoLexus Gx
Honolulu,Honolulu$25K to $40K,Acura Rdx,,0.888,,,12616.96,30159,6682.59,HonoluluAcura Rdx
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Mercedes-Benz Gla-Class,,0.8879,,,10101.78,24149,5350.9,Seattle / TacomaMercedes-Benz Gla-Class
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Chevrolet Malibu,,0.8877,,,7677.18,18354,4066.85,Seattle / TacomaChevrolet Malibu
US: Other,US: Other$25K to $40K,Cadillac Xt4,,0.8875,,,11718.27,28019,6208.41,US: OtherCadillac Xt4
National Average,National Average$10K to $25K,Mazda Mazda3,,0.8871,,,7345.34,17567,3892.47,National AverageMazda Mazda3
Honolulu,Honolulu$25K to $40K,BMW 2 Series Gran Coupe,,0.887,,,13346.47,31921,7073.01,HonoluluBMW 2 Series Gran Coupe
US: Other,US: Other$10K to $25K,Hyundai Elantra Gt,,0.8869,,,6174.15,14767,3272.05,US: OtherHyundai Elantra Gt
Chicago,Chicago$10K to $25K,GMC Terrain,,0.8848,,,8621.23,20643,4574.05,ChicagoGMC Terrain
Las Vegas,Las Vegas$40K to $100K,Ford Expedition,,0.8844,,,17003.06,40722,9023.12,Las VegasFord Expedition
Atlanta,Atlanta$10K to $25K,Chevrolet Sonic,,0.8832,,,5047.47,12096,2680.21,AtlantaChevrolet Sonic
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Ford Escape,,0.883,,,7239.37,17351,3844.61,New York / New Jersey / Long IslandFord Escape
Austin,Austin$10K to $25K,INFINITI Q50,,0.8823,,,9971.03,23907,5297.28,AustinINFINITI Q50
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Acura Ilx,,0.8819,,,8016.32,19224,4259.63,San Francisco / Oakland / San JoseAcura Ilx
Atlanta,Atlanta$10K to $25K,Ford Escape,,0.8819,,,7234.99,17351,3844.61,AtlantaFord Escape
San Diego,San Diego$10K to $25K,Jeep Renegade,,0.8818,,,7361.39,17655,3911.97,San DiegoJeep Renegade
Orlando,Orlando$10K to $25K,Nissan Kicks,,0.8816,,,7351.97,17634,3907.32,OrlandoNissan Kicks
Chicago,Chicago$10K to $25K,Ford Fusion,,0.8811,,,7444.41,17860,3957.39,ChicagoFord Fusion
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Hyundai Ioniq Hybrid,,0.881,,,8217.84,19717,4368.86,Washington DC / BaltimoreHyundai Ioniq Hybrid
US: Other,US: Other$10K to $25K,Subaru Legacy,,0.8807,,,9164.23,21991,4872.73,US: OtherSubaru Legacy
Honolulu,Honolulu$40K to $100K,Toyota Tundra,,0.8802,,,17243.6,41390,9171.14,HonoluluToyota Tundra
San Diego,San Diego$10K to $25K,Kia Optima Plug-In Hybrid,,0.88,,,7913.7,18997,4209.33,San DiegoKia Optima Plug-In Hybrid
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Hyundai Accent,,0.8798,,,6492.01,15586,3453.52,Miami / Fort LauderdaleHyundai Accent
Phoenix,Phoenix$10K to $25K,Mercedes-Benz Gla-Class,,0.8795,,,10056.97,24149,5350.9,PhoenixMercedes-Benz Gla-Class
Houston,Houston$25K to $40K,Honda Insight,,0.8791,,,10544.96,25326,5611.7,HoustonHonda Insight
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Jeep Cherokee,,0.8786,,,8179.65,19650,4354.02,New York / New Jersey / Long IslandJeep Cherokee
Houston,Houston$10K to $25K,Hyundai Ioniq Hybrid,,0.8786,,,8207.43,19717,4368.86,HoustonHyundai Ioniq Hybrid
National Average,National Average$10K to $25K,Ford Flex,,0.8779,,,9450.16,22711,5032.27,National AverageFord Flex
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$25K to $40K,Land Rover Discovery Sport,,0.8778,,,11692.95,28103,6227.02,Los Angeles / Riverside / Orange CountyLand Rover Discovery Sport
US: Other,US: Other$10K to $25K,Volkswagen Tiguan,,0.8774,,,9651.91,23202,5141.07,US: OtherVolkswagen Tiguan
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$25K to $40K,GMC Acadia,,0.8774,,,11034.4,26526,5877.59,Los Angeles / Riverside / Orange CountyGMC Acadia
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Audi A4,,0.8773,,,10221.05,24571,5444.41,Seattle / TacomaAudi A4
Denver / Boulder,Denver / Boulder$10K to $25K,Subaru Legacy,,0.8769,,,9145.48,21991,4872.73,Denver / BoulderSubaru Legacy
Tampa,Tampa$10K to $25K,Kia Soul,,0.8767,,,7166.42,17234,3818.68,TampaKia Soul
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Chrysler Voyager,,0.8765,,,9592.95,23071,5112.04,New York / New Jersey / Long IslandChrysler Voyager
Miami / Fort Lauderdale,Miami / Fort Lauderdale$10K to $25K,Jeep Cherokee,,0.8756,,,8166.48,19650,4354.02,Miami / Fort LauderdaleJeep Cherokee
Orlando,Orlando$25K to $40K,Nissan Armada,,0.8753,,,12446.51,29953,6636.94,OrlandoNissan Armada
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Hyundai Accent,,0.8752,,,6476.03,15586,3453.52,Washington DC / BaltimoreHyundai Accent
National Average,National Average$10K to $25K,Nissan Pathfinder,,0.8744,,,10376.32,24984,5535.92,National AverageNissan Pathfinder
Denver / Boulder,Denver / Boulder$25K to $40K,Mercedes-Benz A-Class,,0.8741,,,11528.79,27763,6151.68,Denver / BoulderMercedes-Benz A-Class
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Chevrolet Equinox,,0.874,,,8275.38,19929,4415.84,Boston / Worcester / LawrenceChevrolet Equinox
Chicago,Chicago$10K to $25K,INFINITI Qx30,,0.874,,,8727.74,21019,4657.36,ChicagoINFINITI Qx30
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$25K to $40K,Kia Carnival,,0.8735,,,15529.78,37409,8289.03,Boston / Worcester / LawrenceKia Carnival
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Chevrolet Trailblazer,,0.8735,,,10214.57,24606,5452.16,New York / New Jersey / Long IslandChevrolet Trailblazer
Phoenix,Phoenix$25K to $40K,Land Rover Range Rover Evoque,,0.8729,,,13261.42,31956,7080.76,PhoenixLand Rover Range Rover Evoque
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Buick Encore,,0.8724,,,6006.41,14477,3207.79,Washington DC / BaltimoreBuick Encore
US: Other,US: Other$10K to $25K,Chrysler Voyager,,0.8724,,,9571.62,23071,5112.04,US: OtherChrysler Voyager
New York / New Jersey / Long Island,New York / New Jersey / Long Island$10K to $25K,Subaru Outback,,0.8717,,,9851.02,23753,5263.16,New York / New Jersey / Long IslandSubaru Outback
National Average,National Average$10K to $25K,Nissan Rogue,,0.8714,,,9035.4,21790,4828.2,National AverageNissan Rogue
Houston,Houston$10K to $25K,Hyundai Elantra Hybrid,,0.8712,,,10020.36,24168,5355.11,HoustonHyundai Elantra Hybrid
Seattle / Tacoma,Seattle / Tacoma$10K to $25K,Dodge Journey,,0.8709,,,6721.44,16214,3592.67,Seattle / TacomaDodge Journey
Chicago,Chicago$10K to $25K,Cadillac Xts,,0.8708,,,10244.16,24713,5475.87,ChicagoCadillac Xts
Las Vegas,Las Vegas$10K to $25K,Ford Fusion Hybrid,,0.8707,,,7499.82,18093,4009.02,Las VegasFord Fusion Hybrid
New York / New Jersey / Long Island,New York / New Jersey / Long Island$25K to $40K,Jaguar F-Pace,,0.8705,,,12646.72,30513,6761.03,New York / New Jersey / Long IslandJaguar F-Pace
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$10K to $25K,Buick Encore Gx,,0.8699,,,8970.85,21652,4797.62,San Francisco / Oakland / San JoseBuick Encore Gx
San Diego,San Diego$10K to $25K,Jeep Wrangler Jk,,0.8697,,,9248.81,22325,4946.74,San DiegoJeep Wrangler Jk
Denver / Boulder,Denver / Boulder$25K to $40K,Toyota 4runner,,0.8697,,,14552.3,35127,7783.39,Denver / BoulderToyota 4runner
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Jaguar Xe,,0.8696,,,9438.3,22783,5048.22,Los Angeles / Riverside / Orange CountyJaguar Xe
Austin,Austin$10K to $25K,Hyundai Elantra,,0.8692,,,6816.13,16457,3646.52,AustinHyundai Elantra
Honolulu,Honolulu$25K to $40K,Subaru Wrx,,0.8682,,,10871.06,26261,5818.87,HonoluluSubaru Wrx
US: Other,US: Other$10K to $25K,Mazda Mazda3,,0.868,,,7271.06,17567,3892.47,US: OtherMazda Mazda3
Orlando,Orlando$25K to $40K,Chrysler Pacifica,,0.8677,,,10540.48,25470,5643.61,OrlandoChrysler Pacifica
Washington DC / Baltimore,Washington DC / Baltimore$10K to $25K,Nissan Sentra,,0.8674,,,6508.97,15731,3485.65,Washington DC / BaltimoreNissan Sentra
US: Other,US: Other$25K to $40K,Volkswagen Atlas,,0.8672,,,11304.91,27324,6054.41,US: OtherVolkswagen Atlas
Las Vegas,Las Vegas$25K to $40K,Ford Explorer,,0.8666,,,11436.26,27651,6126.87,Las VegasFord Explorer
Tampa,Tampa$10K to $25K,Honda Civic,,0.8664,,,7880.45,19055,4222.18,TampaHonda Civic
Phoenix,Phoenix$40K to $100K,Lincoln Navigator,,0.8662,,,21128.78,51096,11321.78,PhoenixLincoln Navigator
Austin,Austin$25K to $40K,Alfa Romeo Stelvio,,0.8655,,,10858.28,26269,5820.65,AustinAlfa Romeo Stelvio
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Kia Rio,,0.8645,,,6509.71,15757,3491.41,Los Angeles / Riverside / Orange CountyKia Rio
US: Other,US: Other$10K to $25K,Nissan Altima,,0.8645,,,7789.91,18856,4178.08,US: OtherNissan Altima
US: Other,US: Other$10K to $25K,Honda Civic,,0.8641,,,7870.44,19055,4222.18,US: OtherHonda Civic
Denver / Boulder,Denver / Boulder$25K to $40K,GMC Acadia,,0.8637,,,10953.79,26526,5877.59,Denver / BoulderGMC Acadia
San Francisco / Oakland / San Jose,San Francisco / Oakland / San Jose$25K to $40K,Land Rover Discovery Sport,,0.8634,,,11603.32,28103,6227.02,San Francisco / Oakland / San JoseLand Rover Discovery Sport
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$25K to $40K,Ford Mustang,,0.8629,,,10558.51,25579,5667.76,Boston / Worcester / LawrenceFord Mustang
National Average,National Average$10K to $25K,Ford Fusion Hybrid,,0.8628,,,7467.98,18093,4009.02,National AverageFord Fusion Hybrid
Los Angeles / Riverside / Orange County,Los Angeles / Riverside / Orange County$10K to $25K,Toyota Yaris Ia,,0.8625,,,5335.68,12929,2864.79,Los Angeles / Riverside / Orange CountyToyota Yaris Ia
Las Vegas,Las Vegas$25K to $40K,Audi Q7,,0.8614,,,14022.03,33997,7533.01,Las VegasAudi Q7
Dallas / Fort Worth,Dallas / Fort Worth$10K to $25K,Kia Rio,,0.8613,,,6498.71,15757,3491.41,Dallas / Fort WorthKia Rio
Boston / Worcester / Lawrence,Boston / Worcester / Lawrence$10K to $25K,Ford Escape,,0.8612,,,7155.5,17351,3844.61,Boston / Worcester / LawrenceFord Escape
